Start_Building,Start_Lat,Start_Lon,End_Building,End_Lat,End_Lon,Distance (m),Terrain,Walking_Speed (m/s),ETA (min),Path
ACADEMIC BLOCK,3.005997,101.721394,KPM I,3.008275,101.721383,357.67,concrete,1.3,4.59,"[(3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008312, 101.721289), (3.008275, 101.721383)]"
ACADEMIC BLOCK,3.005997,101.721394,KPM II,3.003631,101.71975,400.18,concrete,1.3,5.13,"[(3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.004514, 101.720438), (3.004514, 101.720153), (3.004375, 101.720073), (3.004339, 101.72004), (3.004319, 101.720021), (3.004172, 101.720023), (3.004, 101.720025), (3.00382, 101.720028), (3.003632, 101.720031), (3.003631, 101.71975)]"
ACADEMIC BLOCK,3.005997,101.721394,Library,3.004833,101.719575,362.48,concrete,1.3,4.65,"[(3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.004514, 101.720438), (3.004514, 101.720153), (3.004375, 101.720073), (3.004499, 101.719937), (3.004637, 101.719793), (3.004806, 101.719635), (3.004787, 101.719616), (3.004833, 101.719575)]"
ACADEMIC BLOCK,3.005997,101.721394,Tower Block,3.008645,101.721409,381.14,concrete,1.3,4.89,"[(3.005997, 101.721394), (3.006686, 101.721655), (3.006671, 101.721697), (3.006763, 101.721731), (3.006848, 101.721528), (3.006873, 101.721471), (3.007037, 101.721538), (3.007496, 101.721724), (3.007908, 101.721891), (3.008146, 101.721957), (3.008312, 101.721947), (3.008523, 101.721365), (3.008645, 101.721409)]"
ADMINISTRATION BLOCK,3.006333,101.720479,ACADEMIC BLOCK,3.005997,101.721394,108.29,concrete,1.3,1.39,"[(3.006333, 101.720479), (3.005997, 101.721394)]"
ADMINISTRATION BLOCK,3.006333,101.720479,ION2,3.008366,101.72091,269.32,concrete,1.3,3.45,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008366, 101.72091)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KAA I,3.006982,101.721075,128.27,concrete,1.3,1.64,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.00676, 101.720992), (3.006839, 101.721022), (3.006982, 101.721075)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KAA II,3.004261,101.721313,330.27,concrete,1.3,4.23,"[(3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004871, 101.721149), (3.004773, 101.721204), (3.004498, 101.721358), (3.00443, 101.721227), (3.004368, 101.721258), (3.004333, 101.721276), (3.004296, 101.721295), (3.004261, 101.721313)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KAW I,3.00676,101.720992,102.05,concrete,1.3,1.31,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.00676, 101.720992)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KAW II,3.004961,101.721446,248.25,concrete,1.3,3.18,"[(3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005208, 101.721289), (3.004975, 101.721407), (3.004961, 101.721446)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KBP I (EAST),3.006915,101.720413,85.66,concrete,1.3,1.1,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006915, 101.720413)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KBP I (NORTH),3.007784,101.720685,198.13,concrete,1.3,2.54,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007784, 101.720685)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KBP II,3.004822,101.722189,330.46,concrete,1.3,4.24,"[(3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005623, 101.721395), (3.005591, 101.721465), (3.005576, 101.721497), (3.005606, 101.72151), (3.00541, 101.721997), (3.005367, 101.721982), (3.005342, 101.722047), (3.005328, 101.722084), (3.005148, 101.722012), (3.004964, 101.721938), (3.004945, 101.721931), (3.004858, 101.722115), (3.004822, 101.722189)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KEE I,3.007416,101.720382,160.49,concrete,1.3,2.06,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.00711, 101.720567), (3.007306, 101.720653), (3.007416, 101.720382)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KEE II,3.004173,101.719735,368.98,concrete,1.3,4.73,"[(3.006333, 101.720479), (3.006475, 101.720115), (3.00617, 101.719995), (3.006102, 101.720021), (3.00608, 101.720018), (3.005989, 101.719843), (3.005873, 101.719817), (3.005818, 101.719721), (3.005852, 101.71965), (3.005415, 101.719485), (3.004903, 101.719439), (3.004775, 101.719439), (3.004752, 101.719438), (3.004503, 101.719438), (3.004432, 101.719437), (3.00437, 101.719436), (3.004174, 101.719433), (3.004173, 101.719735)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KKA I,3.007845,101.72149,238.52,concrete,1.3,3.06,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.007845, 101.72149)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KKA II,3.003791,101.720491,411.78,concrete,1.3,5.28,"[(3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.00427, 101.720713), (3.004201, 101.720668), (3.004177, 101.720652), (3.003789, 101.720644), (3.003791, 101.720491)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KKK II,3.004514,101.720438,343.35,concrete,1.3,4.4,"[(3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.004514, 101.720438)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KMP I,3.007385,101.721337,188.77,concrete,1.3,2.42,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.006972, 101.720904), (3.007191, 101.721), (3.007244, 101.721023), (3.007406, 101.721093), (3.007474, 101.721122), (3.007385, 101.721337)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KMP II,3.004601,101.721031,296.43,concrete,1.3,3.8,"[(3.006333, 101.720479), (3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.00482, 101.72091), (3.004601, 101.721031)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KPM I,3.008275,101.721383,249.38,concrete,1.3,3.2,"[(3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008312, 101.721289), (3.008275, 101.721383)]"
ADMINISTRATION BLOCK,3.006333,101.720479,KPM II,3.003631,101.71975,430.36,concrete,1.3,5.52,"[(3.006333, 101.720479), (3.006475, 101.720115), (3.00617, 101.719995), (3.006102, 101.720021), (3.00608, 101.720018), (3.005989, 101.719843), (3.005873, 101.719817), (3.005818, 101.719721), (3.005852, 101.71965), (3.005415, 101.719485), (3.004903, 101.719439), (3.004775, 101.719439), (3.004752, 101.719438), (3.004503, 101.719438), (3.004432, 101.719437), (3.00437, 101.719436), (3.004174, 101.719433), (3.004005, 101.719435), (3.003633, 101.719434), (3.003631, 101.71975)]"
ADMINISTRATION BLOCK,3.006333,101.720479,Library,3.004833,101.719575,272.59,concrete,1.3,3.49,"[(3.006333, 101.720479), (3.006475, 101.720115), (3.00617, 101.719995), (3.006102, 101.720021), (3.00608, 101.720018), (3.005989, 101.719843), (3.005873, 101.719817), (3.005818, 101.719721), (3.005852, 101.71965), (3.005415, 101.719485), (3.004903, 101.719439), (3.004881, 101.719533), (3.004833, 101.719575)]"
