Start_Building,Start_Lat,Start_Lon,End_Building,End_Lat,End_Lon,Distance (m),Walking_Speed (m/s),ETA (min),Path,Terrain_concrete,Terrain_ground,Terrain_paved,Terrain_paving_stones
KKA II,3.003791,101.720491,KMP II,3.004601,101.721031,0.18180083937428462,1.3,0.15414634146341463,"[(3.003791, 101.720491), (3.003789, 101.720644), (3.004177, 101.720652), (3.004201, 101.720668), (3.00427, 101.720713), (3.004269, 101.720811), (3.004269, 101.720904), (3.004387, 101.721145), (3.004601, 101.721031)]",1.0,0.0,0.0,0.0
KKA II,3.003791,101.720491,KPM I,3.008275,101.721383,0.9317201303084554,1.3,0.7941463414634147,"[(3.003791, 101.720491), (3.003789, 101.720644), (3.004177, 101.720652), (3.004201, 101.720668), (3.00427, 101.720713), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008312, 101.721289), (3.008275, 101.721383)]",1.0,0.0,0.0,0.0
KKA II,3.003791,101.720491,KPM II,3.003631,101.71975,0.11874504739823322,1.3,0.10048780487804879,"[(3.003791, 101.720491), (3.003792, 101.720391), (3.003792, 101.720327), (3.003792, 101.720299), (3.0036, 101.720296), (3.003598, 101.720125), (3.003633, 101.720125), (3.003633, 101.720089), (3.003632, 101.720031), (3.003631, 101.71975)]",1.0,0.0,0.0,0.0
KKA II,3.003791,101.720491,Library,3.004833,101.719575,0.2912276582631409,1.3,0.24780487804878046,"[(3.003791, 101.720491), (3.003789, 101.720644), (3.004177, 101.720652), (3.004201, 101.720668), (3.00427, 101.720713), (3.00427, 101.720286), (3.004282, 101.720215), (3.004316, 101.720143), (3.004375, 101.720073), (3.004499, 101.719937), (3.004637, 101.719793), (3.004806, 101.719635), (3.004787, 101.719616), (3.004833, 101.719575)]",1.0,0.0,0.0,0.0
KKA II,3.003791,101.720491,Tower Block,3.008645,101.721409,0.9661462154785315,1.3,0.8234146341463414,"[(3.003791, 101.720491), (3.003789, 101.720644), (3.004177, 101.720652), (3.004201, 101.720668), (3.00427, 101.720713), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006686, 101.721655), (3.006671, 101.721697), (3.006763, 101.721731), (3.006848, 101.721528), (3.006873, 101.721471), (3.007037, 101.721538), (3.007496, 101.721724), (3.007908, 101.721891), (3.008146, 101.721957), (3.008312, 101.721947), (3.008523, 101.721365), (3.008645, 101.721409)]",1.0,0.0,0.0,0.0
KKK II,3.004514,101.720438,ACADEMIC BLOCK,3.005997,101.721394,0.30644498576585566,1.0,0.3492682926829268,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,ADMINISTRATION BLOCK,3.006333,101.720479,0.4653537991958443,1.0,0.5248780487804877,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006333, 101.720479)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,ION2,3.008366,101.72091,0.8605640829982684,1.0,0.9629268292682928,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008366, 101.72091)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KAA I,3.006982,101.721075,0.569908725383735,1.0,0.6409756097560976,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.004764, 101.720739), (3.004847, 101.720894), (3.004978, 101.721146), (3.005084, 101.721081), (3.005268, 101.721152), (3.005437, 101.721222), (3.005457, 101.721179), (3.00568, 101.721268), (3.005997, 101.721394), (3.006686, 101.721655), (3.006671, 101.721697), (3.006763, 101.721731), (3.006848, 101.721528), (3.006873, 101.721471), (3.006827, 101.721453), (3.006941, 101.721179), (3.006982, 101.721075)]",0.0,0.0,0.0,1.0
KKK II,3.004514,101.720438,KAA II,3.004261,101.721313,0.16674493000322838,1.0,0.19414634146341464,"[(3.004514, 101.720438), (3.004513, 101.720714), (3.00427, 101.720713), (3.004269, 101.720811), (3.004269, 101.720904), (3.004387, 101.721145), (3.0044, 101.721169), (3.00443, 101.721227), (3.004368, 101.721258), (3.004333, 101.721276), (3.004296, 101.721295), (3.004261, 101.721313)]",0.0,0.0,0.0,1.0
